[2026-05-14 17:00:00.004] [3701643319] [INFO] [L3701643319T20260514165959959R11728] [数据交互|收到RSU数据] |RSU数据：FFFF00800000004A1C0000019E25B63A0637016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000020000024B011871
[2026-05-14 17:31:37.288] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到监控上报0C帧] |设备监控上报0C原始帧-[FFFF000B000000310C6A0606F8370164331900000000000000000000000067CF000001E2010000014459C84B20260514004519050000000000FDFD]
[2026-05-14 17:31:37.288] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|下发监控上报返回C0帧] |设备监控上报返回C0已发送-FFFF000B00000025C06A05967937016433190000000000000000E20101E2010000000000000000000000000000FD26
[2026-05-14 17:31:49.882] [3701643319] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643319/Ask/STDevctl/Barrier】,QOS 【1】, 内容:{"action":"2","index":"1","msgId":"37016433192026051417588089","sendTime":"2026-05-14T17:31:48"}

[2026-05-14 17:31:49.882] [3701643319] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643319/Ask/STDevctl/Trafficlight】,QOS 【1】, 内容:{"action":"1","msgId":"37016433192026051417588090","sendTime":"2026-05-14T17:31:48"}

[2026-05-14 17:31:49.882] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到远程值守服务数据] |栏杆机控制消息【抬杆】
[2026-05-14 17:31:49.882] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到远程值守服务数据] |通行信号灯控制消息-设置为绿色
[2026-05-14 17:31:49.882] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|发送电动栏杆机模块数据] |栏杆控制指令内容:E4010101，控制类型(00-落杆 01-抬杆 02-长抬):01,发送的hex:FFFF00020000001F1B0000019E25D3FAFA37016433190000000000000000E401010004E401010194A2
[2026-05-14 17:31:49.882] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|发送通行信号灯模块数据] |通行信号灯指令内容:E7010101，显示颜色(1-绿色，2-红色，3-黄色):01,发送的hex:FFFF00030000001F1B0000019E25D3FAFA37016433190000000000000000E701010004E7010101CB27
[2026-05-14 17:31:49.882] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [ ] [设备信息|E4|电动栏杆机|栏杆机1] |电动栏杆机抬杆到位
[2026-05-14 17:31:49.882] [3701643319] [ERROR] [L3701643319T20260514172232097R12694] [异常信息|异常信息] |未匹配到功能模块类型编码-[FC]、设备字典-[scrollLight]对应的设备功能模块序号，请检查socket字典配置
[2026-05-14 17:31:49.883] [3701643319] [INFO] [L0000000000T20260423170118665R00002] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Push/DevInfo/Barrier】：{"index":"01","msgId":"2026051417296645","pushTime":"2026-05-14T17:31:49","status":"01"}
[2026-05-14 17:31:49.883] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [异常信息|异常信息] |OutEquipmentCtlSvc跑马灯控制异常null
java.lang.NullPointerException: null
[2026-05-14 17:31:49.885] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到电动栏杆机模块数据] |电动栏杆机数据：FFFF00500000001F1C0000019E25D3CFB6370164331900000000000000000000010004E4010201B81E
[2026-05-14 17:31:49.885] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到电动栏杆机模块数据] |抬落杆到位信号上报：RailLocationReport(Hax=E4010201, SEQ=null, LEN=null, deviceType=E4, deviceIndex=01, deviceFuncType=02, barStaus=01, CRC=null)
[2026-05-14 17:31:49.885] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|下发上报确认C1帧] |C1：FFFF00500000001FC10000019E25D3FAFD37016433190000000000000000E401010004E40102007DE2
[2026-05-14 17:31:49.889] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到电动栏杆机模块数据] |电动栏杆机/电动道闸数据：FFFF00020000002FB10000019E25D3CFB6370164331900000000000000000000010014E401010000000000000000B600000000000000B6B5B9
[2026-05-14 17:31:49.889] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到电动栏杆机模块数据] |电动栏杆机制响应：RailControlRes(Hex=E401010000000000000000B600000000000000B6, SEQ=null, LEN=null, deviceType=E4, deviceIndex=01, deviceFuncType=01, ctlState=00, unixTm1=00000000000000B6, unixTm2=00000000000000B6, CRC=null)
[2026-05-14 17:31:49.889] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到电动栏杆机模块数据] |电动栏杆机01(00-落杆 01-抬杆 02-长抬)控制指令执行成功
[2026-05-14 17:31:49.929] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到通行信号灯模块数据] |通行信号灯数据：FFFF00030000001FB10000019E25D3CFB8370164331900000000000000000000010004E7010100EE13
[2026-05-14 17:31:49.929] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [ ] [设备信息|E7|通行信号灯|通行信号灯1] |通行信号灯控制成功
[2026-05-14 17:31:49.935] [3701643319] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643319/Push/MTCStatusShare】,QOS 【1】, 内容:{"laneType":"1","msgId":"37016433192026051417005840","sendTime":"2026-05-14T17:31:48","tollLaneHex":"3701643319","transStatus":"2"}

[2026-05-14 17:31:49.935] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到消息服务数据] |MTC车道互斥消息-MTCMutexPush(msgId=37016433192026051417005840, sendTime=2026-05-14T17:31:48, tollLaneHex=3701643319, laneType=1, transStatus=2, rsuId=null)
[2026-05-14 17:31:50.383] [3701643319] [INFO] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Reply/STDevctl/Trafficlight】：{"code":"0","msgId":"37016433192026051417588090","recvTime":"2026-05-14T17:31:49"}
[2026-05-14 17:31:50.383] [3701643319] [INFO] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Reply/STDevctl/Barrier】：{"code":"0","msgId":"37016433192026051417588089","recvTime":"2026-05-14T17:31:49"}
[2026-05-14 17:31:51.329] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到监控上报0C帧] |设备监控上报0C原始帧-[FFFF0060000000330C6A058D793701643319000000000000000000004D1C64B9000001E30100000100000000202605140054000700000000000000D579]
[2026-05-14 17:31:51.329] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|下发监控上报返回C0帧] |设备监控上报返回C0已发送-FFFF006000000025C06A05968737016433190000000000000000E30101E3010000000000000000000000000000755E
[2026-05-14 17:31:52.408] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到监控上报0C帧] |设备监控上报0C原始帧-[FFFF0003000000310C6A060708370164331900000000000000000000000067DF000001E2010000014459C84B20260514004519050000000000F30E]
[2026-05-14 17:31:52.408] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|下发监控上报返回C0帧] |设备监控上报返回C0已发送-FFFF000300000025C06A05968837016433190000000000000000E20101E2010000000000000000000000000000488D
[2026-05-14 17:31:56.252] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到车辆检测器模块数据] |车辆检测器数据：FFFF00700000001F1C0000019E25D3E895370164331900000000000000000000010004E5070101E22C
[2026-05-14 17:31:56.253] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [ ] [设备信息|E5|车辆检测器|车检器7] |车检状态:车检器7有信号
[2026-05-14 17:31:56.253] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [处理流程|队列逻辑] |车道hex为:3701643319线圈为:7号,改变后的状态为:true
[2026-05-14 17:31:56.253] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|下发上报确认C1帧] |C1：FFFF00700000001FC10000019E25D413DD37016433190000000000000000E507010004E507010041A6
[2026-05-14 17:31:56.253] [3701643319] [INFO] [L0000000000T20260423170118665R00002] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Push/DevInfo/VeDetector】：{"index":"07","msgId":"2026051417296646","pushTime":"2026-05-14T17:31:56","status":"1"}
[2026-05-14 17:31:56.306] [3701643319] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643319/Ask/STDevctl/Trafficlight】,QOS 【1】, 内容:{"action":"2","msgId":"37016433192026051417588100","sendTime":"2026-05-14T17:31:55"}

[2026-05-14 17:31:56.306] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到远程值守服务数据] |通行信号灯控制消息-设置为红色
[2026-05-14 17:31:56.306] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|发送通行信号灯模块数据] |通行信号灯指令内容:E7010102，显示颜色(1-绿色，2-红色，3-黄色):02,发送的hex:FFFF00040000001F1B0000019E25D4141237016433190000000000000000E701010004E701010256F1
[2026-05-14 17:31:56.309] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到通行信号灯模块数据] |通行信号灯数据：FFFF00040000001FB10000019E25D3E8CE370164331900000000000000000000010004E701010023D4
[2026-05-14 17:31:56.309] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [ ] [设备信息|E7|通行信号灯|通行信号灯1] |通行信号灯控制成功
[2026-05-14 17:31:56.807] [3701643319] [INFO] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Reply/STDevctl/Trafficlight】：{"code":"0","msgId":"37016433192026051417588100","recvTime":"2026-05-14T17:31:56"}
[2026-05-14 17:31:56.902] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到车辆检测器模块数据] |车辆检测器数据：FFFF00800000001F1C0000019E25D3EB1F370164331900000000000000000000010004E506010096BD
[2026-05-14 17:31:56.903] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [ ] [设备信息|E5|车辆检测器|车检器6] |车检状态:车检器6无信号
[2026-05-14 17:31:56.903] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [处理流程|队列逻辑] |车道hex为:3701643319线圈为:6号,改变后的状态为:false
[2026-05-14 17:31:56.903] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|下发上报确认C1帧] |C1：FFFF00800000001FC10000019E25D4166737016433190000000000000000E506010004E50601001AB1
[2026-05-14 17:31:56.903] [3701643319] [INFO] [L0000000000T20260423170118665R00002] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Push/DevInfo/VeDetector】：{"index":"06","msgId":"2026051417296647","pushTime":"2026-05-14T17:31:56","status":"0"}
[2026-05-14 17:31:57.793] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到车辆检测器模块数据] |车辆检测器数据：FFFF00900000001F1C0000019E25D3EE99370164331900000000000000000000010004E50701009A5D
[2026-05-14 17:31:57.793] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [ ] [设备信息|E5|车辆检测器|车检器7] |车检状态:车检器7无信号
[2026-05-14 17:31:57.793] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [处理流程|队列逻辑] |车道hex为:3701643319线圈为:7号,改变后的状态为:false
[2026-05-14 17:31:57.793] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|下发上报确认C1帧] |C1：FFFF00900000001FC10000019E25D419E137016433190000000000000000E507010004E5070100EB64
[2026-05-14 17:31:57.793] [3701643319] [INFO] [L0000000000T20260423170118665R00002] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Push/DevInfo/VeDetector】：{"index":"07","msgId":"2026051417296648","pushTime":"2026-05-14T17:31:57","status":"0"}
[2026-05-14 17:31:57.812] [3701643319] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643319/Ask/STDevctl/Display】,QOS 【1】, 内容:{"action":"1","fontColor":"2","fontLine":"0","fontSize":"0","keepTime":"0","msgId":"37016433192026051417588101","sendTime":"2026-05-14T17:31:56","text":"欢迎行驶高速公路___"}

[2026-05-14 17:31:57.813] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到远程值守服务数据] |接收到MQTT费显控制请求DevCtlDisplayAsk(msgId=37016433192026051417588101, sendTime=2026-05-14T17:31:56, action=1, clearType=null, fontColor=2, fontSize=0, fontLine=0, keepTime=0, text=欢迎行驶高速公路___)
[2026-05-14 17:31:57.813] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到远程值守服务数据] |费显控制消息(默认控制 费显/后费显)-显示内容：欢迎行驶高速公路___
[2026-05-14 17:31:57.813] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|发送信息显示屏模块数据] |信息显示屏指令内容：E6010102000000BBB6D3ADD0D0CABBB8DFCBD9B9ABC2B75F5F5F, 待显示文本:欢迎行驶高速公路___,发送的hex:FFFF0005000000351B0000019E25D419F537016433190000000000000000E60101001AE6010102000000BBB6D3ADD0D0CABBB8DFCBD9B9ABC2B75F5F5F905B
[2026-05-14 17:31:57.818] [3701643319] [INFO] [数据交互|收到信息显示屏模块数据] |信息显示屏数据：FFFF00050000001FB10000019E25D3EEB2370164331900000000000000000000010004E60101001DC9
[2026-05-14 17:31:57.818] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [设备信息|E6|信息显示屏|显示屏1] |信息显示屏显示控制成功
[2026-05-14 17:31:57.864] [3701643319] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643319/Push/MTCStatusShare】,QOS 【1】, 内容:{"laneType":"1","msgId":"37016433192026051417005841","sendTime":"2026-05-14T17:31:56","tollLaneHex":"3701643319","transStatus":"2"}

[2026-05-14 17:31:57.864] [3701643319] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643319/Ask/STDevctl/Trafficlight】,QOS 【1】, 内容:{"action":"2","msgId":"37016433192026051417588102","sendTime":"2026-05-14T17:31:56"}

[2026-05-14 17:31:57.864] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到消息服务数据] |MTC车道互斥消息-MTCMutexPush(msgId=37016433192026051417005841, sendTime=2026-05-14T17:31:56, tollLaneHex=3701643319, laneType=1, transStatus=2, rsuId=null)
[2026-05-14 17:31:57.864] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到远程值守服务数据] |通行信号灯控制消息-设置为红色
[2026-05-14 17:31:57.864] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|发送通行信号灯模块数据] |通行信号灯指令内容:E7010102，显示颜色(1-绿色，2-红色，3-黄色):02,发送的hex:FFFF00060000001F1B0000019E25D41A2837016433190000000000000000E701010004E70101020643
[2026-05-14 17:31:57.865] [3701643319] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643319/Ask/STDevctl/Trafficlight】,QOS 【1】, 内容:{"action":"2","msgId":"37016433192026051417588103","sendTime":"2026-05-14T17:31:56"}

[2026-05-14 17:31:57.865] [3701643319] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643319/Ask/STDevctl/Display】,QOS 【1】, 内容:{"action":"1","fontColor":"2","fontLine":"0","fontSize":"0","keepTime":"0","msgId":"37016433192026051417588105","sendTime":"2026-05-14T17:31:56","text":"欢迎行驶高速公路___"}

[2026-05-14 17:31:57.865] [3701643319] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643319/Ask/STDevctl/Barrier】,QOS 【1】, 内容:{"action":"1","index":"1","msgId":"37016433192026051417588104","sendTime":"2026-05-14T17:31:56"}

[2026-05-14 17:31:57.865] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到远程值守服务数据] |接收到MQTT费显控制请求DevCtlDisplayAsk(msgId=37016433192026051417588105, sendTime=2026-05-14T17:31:56, action=1, clearType=null, fontColor=2, fontSize=0, fontLine=0, keepTime=0, text=欢迎行驶高速公路___)
[2026-05-14 17:31:57.865] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到远程值守服务数据] |栏杆机控制消息【落杆】
[2026-05-14 17:31:57.865] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到远程值守服务数据] |通行信号灯控制消息-设置为红色
[2026-05-14 17:31:57.865] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到远程值守服务数据] |费显控制消息(默认控制 费显/后费显)-显示内容：欢迎行驶高速公路___
[2026-05-14 17:31:57.865] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|发送电动栏杆机模块数据] |栏杆控制指令内容:E4010100，控制类型(00-落杆 01-抬杆 02-长抬):00,发送的hex:FFFF00070000001F1B0000019E25D41A2937016433190000000000000000E401010004E4010100F31D
[2026-05-14 17:31:57.865] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|发送通行信号灯模块数据] |通行信号灯指令内容:E7010102，显示颜色(1-绿色，2-红色，3-黄色):02,发送的hex:FFFF00080000001F1B0000019E25D41A2937016433190000000000000000E701010004E70101023436
[2026-05-14 17:31:57.865] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|发送信息显示屏模块数据] |信息显示屏指令内容：E6010102000000BBB6D3ADD0D0CABBB8DFCBD9B9ABC2B75F5F5F, 待显示文本:欢迎行驶高速公路___,发送的hex:FFFF0009000000351B0000019E25D41A2937016433190000000000000000E60101001AE6010102000000BBB6D3ADD0D0CABBB8DFCBD9B9ABC2B75F5F5F6E4C
[2026-05-14 17:31:57.865] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [ ] [设备信息|E4|电动栏杆机|栏杆机1] |电动栏杆机落杆到位
[2026-05-14 17:31:57.866] [3701643319] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643319/Ask/STDevctl/Display】,QOS 【1】, 内容:{"action":"1","fontColor":"2","fontLine":"0","fontSize":"0","keepTime":"0","msgId":"37016433192026051417588107","sendTime":"2026-05-14T17:31:56","text":"欢迎行驶高速公路___"}

[2026-05-14 17:31:57.866] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|发送信息显示屏模块数据] |信息显示屏初始化指令内容：E6010102000000BBB6D3ADD0D0CABBB8DFCBD9B9ABC2B75F5F5F ,待显示文本:欢迎行驶高速公路___,发送的hex:FFFF0001000000351B0000019E25D41A2A37016433190000000000000000E60101001AE6010102000000BBB6D3ADD0D0CABBB8DFCBD9B9ABC2B75F5F5FA626
[2026-05-14 17:31:57.865] [3701643319] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643319/Ask/STDevctl/Display】,QOS 【1】, 内容:{"action":"1","fontColor":"2","fontLine":"0","fontSize":"0","keepTime":"0","msgId":"37016433192026051417588106","sendTime":"2026-05-14T17:31:56","text":"欢迎行驶高速公路___"}

[2026-05-14 17:31:57.866] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到远程值守服务数据] |接收到MQTT费显控制请求DevCtlDisplayAsk(msgId=37016433192026051417588107, sendTime=2026-05-14T17:31:56, action=1, clearType=null, fontColor=2, fontSize=0, fontLine=0, keepTime=0, text=欢迎行驶高速公路___)
[2026-05-14 17:31:57.866] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到远程值守服务数据] |费显控制消息(默认控制 费显/后费显)-显示内容：欢迎行驶高速公路___
[2026-05-14 17:31:57.866] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|发送通行信号灯模块数据] |通行信号灯指令内容:E7010102，显示颜色(1-绿色，2-红色，3-黄色):02,发送的hex:FFFF00020000001F1B0000019E25D41A2A37016433190000000000000000E701010004E7010102BCDE
[2026-05-14 17:31:57.866] [3701643319] [INFO] [L0000000000T20260423170118665R00002] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Push/DevInfo/Barrier】：{"index":"01","msgId":"2026051417296649","pushTime":"2026-05-14T17:31:57","status":"00"}
[2026-05-14 17:31:57.866] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|发送报警器模块数据] |报警灯指令内容:E80101000005,控制类型(00H-停止报警，01H-开始报警):00,发送的hex:FFFF0004000000211B0000019E25D41A2A37016433190000000000000000E801010006E801010000058BF9
[2026-05-14 17:31:57.866] [3701643319] [INFO] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Reply/STDevctl/Display】：{"code":"0","msgId":"37016433192026051417588105","recvTime":"2026-05-14T17:31:57"}
[2026-05-14 17:31:57.866] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|发送信息显示屏模块数据] |信息显示屏指令内容：E6010102000000BBB6D3ADD0D0CABBB8DFCBD9B9ABC2B75F5F5F, 待显示文本:欢迎行驶高速公路___,发送的hex:FFFF0003000000351B0000019E25D41A2A37016433190000000000000000E60101001AE6010102000000BBB6D3ADD0D0CABBB8DFCBD9B9ABC2B75F5F5F44A3
[2026-05-14 17:31:57.866] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到远程值守服务数据] |接收到MQTT费显控制请求DevCtlDisplayAsk(msgId=37016433192026051417588106, sendTime=2026-05-14T17:31:56, action=1, clearType=null, fontColor=2, fontSize=0, fontLine=0, keepTime=0, text=欢迎行驶高速公路___)
[2026-05-14 17:31:57.866] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到远程值守服务数据] |费显控制消息(默认控制 费显/后费显)-显示内容：欢迎行驶高速公路___
[2026-05-14 17:31:57.866] [3701643319] [INFO] [L0000000000T20260423170118665R00002] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Push/Cvicse/vehicleOverstaysData】：{"isShow":0,"laneId":"25","msgId":"37016433192026051417296650","pushTime":"2026-05-14T17:31:57","timeOut":"40000"}
[2026-05-14 17:31:57.867] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|发送信息显示屏模块数据] |信息显示屏指令内容：E6010102000000BBB6D3ADD0D0CABBB8DFCBD9B9ABC2B75F5F5F, 待显示文本:欢迎行驶高速公路___,发送的hex:FFFF0005000000351B0000019E25D41A2B37016433190000000000000000E60101001AE6010102000000BBB6D3ADD0D0CABBB8DFCBD9B9ABC2B75F5F5F5D06
[2026-05-14 17:31:57.866] [3701643319] [ERROR] [L3701643319T20260514172232097R12694] [异常信息|异常信息] |未匹配到功能模块类型编码-[FC]、设备字典-[scrollLight]对应的设备功能模块序号，请检查socket字典配置
[2026-05-14 17:31:57.867] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [异常信息|异常信息] |OutEquipmentCtlSvc跑马灯控制异常null
java.lang.NullPointerException: null
[2026-05-14 17:31:57.867] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到通行信号灯模块数据] |通行信号灯数据：FFFF00060000001FB10000019E25D3EEE4370164331900000000000000000000010004E7010100657C
[2026-05-14 17:31:57.867] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [ ] [设备信息|E7|通行信号灯|通行信号灯1] |通行信号灯控制成功
[2026-05-14 17:31:57.900] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到电动栏杆机模块数据] |电动栏杆机数据：FFFF00100000001F1C0000019E25D3EEE7370164331900000000000000000000010004E4010200BE20
[2026-05-14 17:31:57.900] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到电动栏杆机模块数据] |抬落杆到位信号上报：RailLocationReport(Hax=E4010200, SEQ=null, LEN=null, deviceType=E4, deviceIndex=01, deviceFuncType=02, barStaus=00, CRC=null)
[2026-05-14 17:31:57.900] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|下发上报确认C1帧] |C1：FFFF00100000001FC10000019E25D41A4C37016433190000000000000000E401010004E4010200843E
[2026-05-14 17:31:57.935] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到电动栏杆机模块数据] |电动栏杆机/电动道闸数据：FFFF00070000002FB10000019E25D3EEE7370164331900000000000000000000010014E401010000000000000000E600000000000000E748AA
[2026-05-14 17:31:57.935] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到电动栏杆机模块数据] |电动栏杆机制响应：RailControlRes(Hex=E401010000000000000000E600000000000000E7, SEQ=null, LEN=null, deviceType=E4, deviceIndex=01, deviceFuncType=01, ctlState=00, unixTm1=00000000000000E6, unixTm2=00000000000000E7, CRC=null)
[2026-05-14 17:31:57.935] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到电动栏杆机模块数据] |电动栏杆机00(00-落杆 01-抬杆 02-长抬)控制指令执行成功
[2026-05-14 17:31:57.974] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到通行信号灯模块数据] |通行信号灯数据：FFFF00080000001FB10000019E25D3EEE9370164331900000000000000000000010004E70101000E03
[2026-05-14 17:31:57.974] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到报警器模块数据] |报警器数据：FFFF00040000001FB10000019E25D3EF05370164331900000000000000000000010004E80101005D53
[2026-05-14 17:31:57.974] [3701643319] [INFO] [数据交互|收到信息显示屏模块数据] |信息显示屏数据：FFFF00030000001FB10000019E25D3EF03370164331900000000000000000000010004E6010100824A
[2026-05-14 17:31:57.974] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [数据交互|收到通行信号灯模块数据] |通行信号灯数据：FFFF00020000001FB10000019E25D3EEFD370164331900000000000000000000010004E7010100FFBF
[2026-05-14 17:31:57.974] [3701643319] [INFO] [数据交互|收到信息显示屏模块数据] |信息显示屏数据：FFFF00010000001FB10000019E25D3EEF7370164331900000000000000000000010004E60101006A4B
[2026-05-14 17:31:57.974] [3701643319] [INFO] [数据交互|收到信息显示屏模块数据] |信息显示屏数据：FFFF00090000001FB10000019E25D3EEEF370164331900000000000000000000010004E60101009272
[2026-05-14 17:31:57.975] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [设备信息|E6|信息显示屏|显示屏1] |信息显示屏显示控制成功
[2026-05-14 17:31:57.975] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [ ] [设备信息|E7|通行信号灯|通行信号灯1] |通行信号灯控制成功
[2026-05-14 17:31:57.975] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [设备信息|E6|信息显示屏|显示屏1] |信息显示屏显示控制成功
[2026-05-14 17:31:57.975] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [ ] [设备信息|E8|声光报警器|报警器1] |报警灯控制成功
[2026-05-14 17:31:57.974] [3701643319] [INFO] [数据交互|收到信息显示屏模块数据] |信息显示屏数据：FFFF00050000001FB10000019E25D3EF0B370164331900000000000000000000010004E60101001DD7
[2026-05-14 17:31:57.974] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [ ] [设备信息|E7|通行信号灯|通行信号灯1] |通行信号灯控制成功
[2026-05-14 17:31:57.975] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [设备信息|E6|信息显示屏|显示屏1] |信息显示屏显示控制成功
[2026-05-14 17:31:57.975] [3701643319] [INFO] [L3701643319T20260514172232097R12694] [设备信息|E6|信息显示屏|显示屏1] |信息显示屏显示控制成功
[2026-05-14 17:31:58.313] [3701643319] [INFO] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Reply/STDevctl/Display】：{"code":"0","msgId":"37016433192026051417588101","recvTime":"2026-05-14T17:31:57"}
[2026-05-14 17:31:58.365] [3701643319] [INFO] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Reply/STDevctl/Trafficlight】：{"code":"0","msgId":"37016433192026051417588102","recvTime":"2026-05-14T17:31:57"}
